No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,"Avg. Epit, mV (SCE) ","Max Epit, mV (SCE)","Min Epit, mV (SCE)",Test Temp. C,Test Solution,[Cl-] M,pH,Test Method,Scan Rate mV/s,Heat treatment,Microstructures,Comments,Reference,Material class
488.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-661.26,,,,1.0M NaCl PH=3,1.0,3.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
489.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-526.29,,,,1.0M NaCl PH=4,1.0,4.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
490.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-472.07,,,,1.0M NaCl PH=5,1.0,5.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
491.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-458.98,,,,1.0M NaCl PH=7,1.0,7.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
492.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-460.67,,,,1.0M NaCl PH=9,1.0,9.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
493.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-701.63,,,,1.0M NaBr PH=3,0.0,3.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
494.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-427.19,,,,1.0M NaBr PH=4,0.0,4.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
495.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-405.98,,,,1.0M NaBr PH=5,0.0,5.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
496.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-396.60,,,,1.0M NaBr PH=7,0.0,7.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
497.0,100.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-361.57,,,,1.0M NaBr PH=9,0.0,9.0,"Potentiodynamic Polarization - test electrodes were made from 0.25 mm wire looped to a diameter of
25 mm. Test solutions were prepared from reagent grade chemicals and
distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of
the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h.
All electrochemical measurements were carried out in conventional setup, purged
with nitrogen during each experiment",1.00,,,"test electrodes were made from 0.25 mm wire looped to a diameter of 25 mm. Test solutions were prepared from reagent grade chemicals and distilled water and the pH value was adjusted using H2SO4 or NaOH as required. The oxygen content of the test solutions was reduced to a negligible value by bubbling nitrogen through them for a period of 24 h. All electrochemical measurements were carried out in conventional setup, purged with nitrogen during each experiment.",9,Other
